FuntionalGroup	SMARTS
Enone	[CX3]=[CX3]~[CX3;$([R0][#6]),$([H1R0])](=[OX1])[CX4]
CarboxylicAcidDerivative	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[$([OX2H]),$([OX1-]),$([OX2][#6;!$(C=[O,N,S])])]
CarboxylicAcid	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[$([OX2H]),$([OX1-])]
CarboxylicEster	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[OX2][#6;!$(C=[O,N,S])]
Enol	[OX2H][CX3]=[CX3]
EnolEster	[OX2][CX3](=[CX3])[CX3]=[O]
EnolEther	[OX2]([#6;!$(C=[N,O,S])])[CX3;$([H0][#6]),$([H1])]=[CX3]
Epoxide	[OX2r3]1[#6r3][#6r3]1
Ether	[OD2;!$(OC~[!#1!#6])]([#6])[#6]
Hemiacetal	[OX2H][CX4H1,!$(C(O)(O)[!#6])][OX2][#6;!$(C=[O,S,N])]
Hydrate	[OX2;$([H2])]
Lactone	[#6][#6X3R](=[OX1])[#8X2][#6;!$(C=[O,N,S])]
Peroxide	[OX2,OX1-][OX2,OX1-]
Hydroperoxide	[OX2H][OX2]
Acidhalide	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1,ClX1,BrX1,IX1]
AcidFluoride	[CX3;$([R0][#6]),$([H1R0])](=[OX1])[FX1]
AlkenylHalide	[C]=[C][FX1,ClX1,BrX1,IX1]
AlkenylBromide	[C]=[C][BrX1]
AlkenylChloride	[C]=[C][ClX1]
AlkenylFluoride	[C]=[C][FX1]
AlkenylIodide	[C]=[C][IX1]
AlkyneHalide	[C]#[C][FX1,ClX1,BrX1,IX1]
AlkyneIodide	[C]#[C][IX1]
AlkylHalide	[CX4][FX1,ClX1,BrX1,IX1]
AlkylBromide	[BrX1][CX4]
AlkylChloride	[ClX1][CX4]
AlkylFluoride	[FX1][CX4]
AlkylIodide	[IX1][CX4]
ArylHalide	c1ccccc1[FX1,ClX1,BrX1,IX1]
ArylBromide	c1ccccc1[BrX1]
ArylChloride	c1ccccc1[ClX1]
ArylFluoride	c1ccccc1[FX1]
ArylIodide	c1ccccc1[IX1]
MetallicCompounds	[Li,Na,K,Rb,Cs,Be,Ca,Sr,Mg,Ba,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Al,Ga,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi]
SodiumIon	[Na+]
PotassiumIon	[K+]
CalciumIon	[Ca++]
BariumIon	[Ba++]
TitaniumIon	[Ti++++,Ti++++,Ti++]
Titanium4Ion	[Ti++++]
Chromium	[CrX6,CrX3,CrX2]
ManganeseIon	[Mn+++++++,Mn++++++,Mn++++,Mn+++,Mn++]
Manganese2Ion	[Mn++]
Manganese	[MnX7,MnX6,MnX5,MnX4,MnX3,MnX2]
IronIon	[Fe+++,Fe++]
Iron3Ion	[Fe+++]
Iron2Ion	[Fe++]
Iron	[FeX3,FeX2]
CobaltIon	[Co+++,Co++]
Cobalt3Ion	[Co+++]
Cobalt2Ion	[Co++]
NickelIon	[Ni+++,Ni++]
Nickel2Ion	[Ni++]
CopperIon	[Cu++,Cu+]
Copper2Ion	[Cu++]
Copper1Ion	[Cu+]
zincIon	[Zn++]
AluminiumIon	[Al+++]
Gallium	[GaX3,GaX2]
YttriumIon	[Y+++]
NiobiumIon	[Nb+++++,Nb++++,Nb+++,Nb++]
Niobium5Ion	[Nb+++++]
Niobium4Ion	[Nb++++]
MolybdenumIon	[Mo++++++,Mo+++++,Mo++++,Mo+++,Mo++]
Molybdenum5Ion	[Mo+++++]
Molybdenum4Ion	[Mo++++]
Molybdenum2Ion	[Mo++]
Molybdenum	[MoX6,MoX5,MoX4,MoX3,MoX2]
RutheniumIon	[Ru++++,Ru+++,Ru++]
Ruthenium3Ion	[Ru+++]
Ruthenium2Ion	[Ru++]
RhodiumIon	[Rh+++,Rh++]
Rhodium3Ion	[Rh+++]
Rhodium	[RhX6,RhX5,RhX4,RhX3,RhX2]
PalladiumIon	[Pd++++,Pd++]
Palladium2Ion	[Pd++]
Palladium	[PdX4,PdX2]
